n,p,m,tiempo
10,0.2,11,20.0371
10,0.4,17,25.9004
10,0.8,36,44.5167
20,0.2,43,174.304
20,0.4,92,259.296
20,0.8,160,367.279
30,0.2,81,569.469
30,0.4,171,755.609
30,0.8,353,1103.93
40,0.2,152,1357.17
40,0.4,313,1821.94
40,0.8,641,2627.93
50,0.2,236,2720.94
50,0.4,501,3598.59
50,0.8,964,5038.38
60,0.2,373,4865.45
60,0.4,746,6374.78
60,0.8,1450,8825.53
70,0.2,474,7678.59
70,0.4,939,9820.91
70,0.8,1963,13900.4
80,0.2,597,11648.2
80,0.4,1286,15056.7
80,0.8,2539,21407.9
90,0.2,798,16558
90,0.4,1583,21008.3
90,0.8,3171,29673.1
100,0.2,978,23074.5
100,0.4,1940,29500.1
100,0.8,4014,40721
2,0.2,1,0.600689
2,0.4,1,0.281293
2,0.8,1,0.582345
4,0.2,4,2.18706
4,0.4,3,2.09528
4,0.8,6,2.52298
6,0.2,6,5.04966
6,0.4,8,8.0526
6,0.8,14,11.0366
8,0.2,7,10.4469
8,0.4,13,16.426
8,0.8,21,20.6872
12,0.2,15,35.111
12,0.4,27,46.56
12,0.8,55,77.4321
14,0.2,18,54.8955
14,0.4,40,77.6996
14,0.8,77,109.372
16,0.2,33,100.87
16,0.4,49,125.361
16,0.8,91,150.623
18,0.2,36,131.208
18,0.4,63,164.338
18,0.8,126,248.086
